term,dma_hits,coverage_ratio,median_gain,spread_intensity_score
andy byron,210,1.0,27350,27350.0
astronomer ceo,210,1.0,10600,10600.0
andy byron astronomer,210,1.0,7750,7750.0
astronomer,210,1.0,7750,7750.0
chronic venous insufficiency,210,1.0,6650,6650.0
venous insufficiency,210,1.0,5900,5900.0
foist,210,1.0,5850,5850.0
loris,210,1.0,5700,5700.0
kristin cabot,210,1.0,5400,5400.0
astronomer ceo andy byron,210,1.0,4250,4250.0
connie francis,210,1.0,3900,3900.0
belled,210,1.0,3900,3900.0
loris definition,210,1.0,3300,3300.0
alaska tsunami,210,1.0,3250,3250.0
megan kerrigan byron,210,1.0,2900,2900.0
abut,210,1.0,2850,2850.0
andy byron wife,210,1.0,2650,2650.0
grand canyon lodge,210,1.0,2500,2500.0
ufc tonight,210,1.0,2200,2200.0
coldplay kiss cam,210,1.0,2000,2000.0
andrea gibson,210,1.0,1950,1950.0
zine,210,1.0,1850,1850.0
elsie hewitt,210,1.0,1850,1850.0
foist meaning,210,1.0,1800,1800.0
belled meaning,210,1.0,1750,1750.0
colbert cancelled,210,1.0,1700,1700.0
abut meaning,210,1.0,1650,1650.0
zin,210,1.0,1650,1650.0
andy byron astronomer wife,210,1.0,1650,1650.0
zine definition,210,1.0,1600,1600.0
felix baumgartner,210,1.0,1550,1550.0
andy byron statement,210,1.0,1500,1500.0
quinshon judkins,210,1.0,1500,1500.0
stephen colbert,210,1.0,1400,1400.0
streameast,210,1.0,1400,1400.0
astronomer company,210,1.0,1350,1350.0
camisole,210,1.0,1350,1350.0
azealia banks,210,1.0,1300,1300.0
colbert,210,1.0,1250,1250.0
chelsea psg,210,1.0,1150,1150.0
pacquiao vs barrios,210,1.0,1100,1100.0
mlb draft,210,1.0,1050,1050.0
stephen colbert cancelled,210,1.0,1050,1050.0
usyk,210,1.0,1050,1050.0
chelsea vs psg,210,1.0,1000,1000.0
manny pacquiao,210,1.0,1000,1000.0
wings vs fever,210,1.0,1000,1000.0
seth rollins,210,1.0,950,950.0
modal,210,1.0,950,950.0
oliver haarmann,210,1.0,900,900.0
coldplay,210,1.0,900,900.0
home run derby,210,1.0,850,850.0
astros vs mariners,210,1.0,850,850.0
fever vs sun,210,1.0,850,850.0
fever vs liberty,210,1.0,850,850.0
inter miami cincinnati,210,1.0,850,850.0
john macarthur,210,1.0,800,800.0
home run derby 2025,210,1.0,750,750.0
who won love island season 7,210,1.0,750,750.0
horace slughorn wand,210,1.0,700,700.0
mlb draft 2025,210,1.0,700,700.0
manny pacquiao vs mario barrios,210,1.0,700,700.0
psg,210,1.0,650,650.0
max holloway,210,1.0,650,650.0
red sox vs cubs,210,1.0,650,650.0
ufc 318,210,1.0,650,650.0
ufc,210,1.0,600,600.0
dustin poirier,210,1.0,600,600.0
max holloway vs dustin poirier,210,1.0,600,600.0
chelsea,210,1.0,550,550.0
federal judge reverses medical debt,210,1.0,500,500.0
alyssa stoddard,210,1.0,450,450.0
stream east,210,1.0,450,450.0
drum and bass meaning,210,1.0,450,450.0
wwe evolution,210,1.0,450,450.0
all star game,210,1.0,400,400.0
cal raleigh,210,1.0,400,400.0
brewers,210,1.0,400,400.0
coldplay concert,210,1.0,350,350.0
scottie scheffler,210,1.0,350,350.0
untamed,210,1.0,350,350.0
severe thunderstorm watch,210,1.0,350,350.0
wnba all star game,210,1.0,300,300.0
astros,210,1.0,300,300.0
ufc schedule,210,1.0,300,300.0
mlb all star game,210,1.0,300,300.0
mariners,210,1.0,300,300.0
mlb scores,210,1.0,300,300.0
dodgers,210,1.0,250,250.0
ceo coldplay concert,210,1.0,250,250.0
yahoo finance,210,1.0,250,250.0
all star game 2025,210,1.0,250,250.0
nvidia stock,210,1.0,250,250.0
eugenia cooney,210,1.0,250,250.0
the summer i turned pretty,210,1.0,250,250.0
nascar,210,1.0,250,250.0
the summer i turned pretty season 3,210,1.0,250,250.0
club world cup,210,1.0,250,250.0
jannik sinner,210,1.0,250,250.0
mets,210,1.0,200,200.0
phillies,210,1.0,200,200.0
mlb all star game 2025,210,1.0,200,200.0
kristin cabot husband,210,1.0,200,200.0
the open leaderboard,210,1.0,190,190.0
tesla stock,210,1.0,180,180.0
deodorant recalled,210,1.0,180,180.0
flash flood warning,210,1.0,160,160.0
mundial de clubes,210,1.0,160,160.0
fedex tracking,210,1.0,150,150.0
caitlin clark,210,1.0,150,150.0
outlook,210,1.0,140,140.0
nvda,210,1.0,130,130.0
chick fil a,210,1.0,130,130.0
conor mcgregor,210,1.0,120,120.0
heat advisory,210,1.0,100,100.0
pizza hut,210,1.0,100,100.0
the open,210,1.0,100,100.0
severe thunderstorm warning,210,1.0,90,90.0
dow jones today,210,1.0,90,90.0
dow jones,210,1.0,70,70.0
jennifer love hewitt,210,1.0,70,70.0
s&p 500,210,1.0,50,50.0
